facility,operational_capacity,hoc_population,jail_population,total_occupancy,percent_occupied,report_date
BARNSTABLE,300.0,81.0,97.0,178.0,59.0,2020-12-28
BERKSHIRE,292.0,54.0,81.0,135.0,46.0,2020-12-28
BRISTOL (Ash Street),206.0,12.0,67.0,79.0,38.0,2020-12-28
BRISTOL (Dartmouth),304.0,115.0,443.0,558.0,184.0,2020-12-28
BRISTOL (Women's Center),56.0,7.0,22.0,29.0,52.0,2020-12-28
DUKES,19.0,10.0,0.0,10.0,53.0,2020-12-28
ESSEX (Middleton),1291.0,203.0,703.0,906.0,70.0,2020-12-28
ESSEX (WIT),23.0,10.0,,10.0,43.0,2020-12-28
ESSEX (L.C.A.C.),340.0,60.0,,60.0,18.0,2020-12-28
FRANKLIN,144.0,64.0,85.0,149.0,103.0,2020-12-28
HAMPDEN (HOC / JAIL),1178.0,149.0,520.0,669.0,57.0,2020-12-28
HAMPDEN (W.M.C.A.C.),148.0,25.0,,25.0,17.0,2020-12-28
HAMPDEN (Women's Center),306.0,28.0,49.0,77.0,25.0,2020-12-28
HAMPSHIRE,287.0,31.0,81.0,112.0,39.0,2020-12-28
MIDDLESEX (Billerica),1501.0,157.0,381.0,538.0,36.0,2020-12-28
NORFOLK (Dedham / RT 128),620.0,83.0,280.0,363.0,59.0,2020-12-28
PLYMOUTH,1140.0,86.0,515.0,601.0,53.0,2020-12-28
SUFFOLK (Nashua Street),453.0,,463.0,463.0,102.0,2020-12-28
SUFFOLK (South Bay),1796.0,510.0,,510.0,28.0,2020-12-28
WORCESTER (HOC / JAIL),822.0,151.0,409.0,560.0,68.0,2020-12-28
BARNSTABLE,300.0,80.0,104.0,184.0,61.0,2020-12-21
BERKSHIRE,292.0,56.0,83.0,139.0,48.0,2020-12-21
BRISTOL (Ash Street),206.0,12.0,67.0,79.0,38.0,2020-12-21
BRISTOL (Dartmouth),304.0,120.0,447.0,567.0,187.0,2020-12-21
BRISTOL (Women's Center),56.0,7.0,25.0,32.0,57.0,2020-12-21
DUKES,19.0,7.0,0.0,7.0,37.0,2020-12-21
ESSEX (Middleton),1291.0,204.0,720.0,924.0,72.0,2020-12-21
ESSEX (WIT),23.0,11.0,,11.0,48.0,2020-12-21
ESSEX (L.C.A.C.),340.0,65.0,,65.0,19.0,2020-12-21
FRANKLIN,144.0,65.0,84.0,149.0,103.0,2020-12-21
HAMPDEN (HOC / JAIL),1178.0,152.0,525.0,677.0,57.0,2020-12-21
HAMPDEN (W.M.C.A.C.),148.0,27.0,,27.0,18.0,2020-12-21
HAMPDEN (Women's Center),306.0,27.0,47.0,74.0,24.0,2020-12-21
HAMPSHIRE,287.0,30.0,82.0,112.0,39.0,2020-12-21
MIDDLESEX (Billerica),1501.0,161.0,384.0,545.0,36.0,2020-12-21
NORFOLK (Dedham / RT 128),620.0,89.0,269.0,358.0,58.0,2020-12-21
PLYMOUTH,1140.0,81.0,526.0,607.0,53.0,2020-12-21
SUFFOLK (Nashua Street),453.0,,466.0,466.0,103.0,2020-12-21
SUFFOLK (South Bay),1796.0,533.0,,533.0,30.0,2020-12-21
WORCESTER (HOC / JAIL),822.0,150.0,412.0,562.0,68.0,2020-12-21
BARNSTABLE,300.0,82.0,107.0,189.0,63.0,2020-12-14
BERKSHIRE,292.0,55.0,90.0,145.0,50.0,2020-12-14
BRISTOL (Ash Street),206.0,11.0,70.0,81.0,39.0,2020-12-14
BRISTOL (Dartmouth),304.0,118.0,443.0,561.0,185.0,2020-12-14
BRISTOL (Women's Center),56.0,9.0,27.0,36.0,64.0,2020-12-14
DUKES,19.0,5.0,0.0,5.0,26.0,2020-12-14
ESSEX (Middleton),1291.0,202.0,711.0,913.0,71.0,2020-12-14
ESSEX (WIT),23.0,13.0,,13.0,57.0,2020-12-14
ESSEX (L.C.A.C.),340.0,73.0,,73.0,21.0,2020-12-14
FRANKLIN,144.0,62.0,93.0,155.0,108.0,2020-12-14
HAMPDEN (HOC / JAIL),1178.0,158.0,516.0,674.0,57.0,2020-12-14
HAMPDEN (W.M.C.A.C.),148.0,24.0,,24.0,16.0,2020-12-14
HAMPDEN (Women's Center),306.0,27.0,52.0,79.0,26.0,2020-12-14
HAMPSHIRE,287.0,31.0,87.0,118.0,41.0,2020-12-14
MIDDLESEX (Billerica),1501.0,156.0,385.0,541.0,36.0,2020-12-14
NORFOLK (Dedham / RT 128),620.0,97.0,275.0,372.0,60.0,2020-12-14
PLYMOUTH,1140.0,87.0,532.0,619.0,54.0,2020-12-14
SUFFOLK (Nashua Street),453.0,,458.0,458.0,101.0,2020-12-14
SUFFOLK (South Bay),1796.0,529.0,,529.0,29.0,2020-12-14
WORCESTER (HOC / JAIL),822.0,147.0,433.0,580.0,71.0,2020-12-14
BARNSTABLE,300.0,84.0,110.0,194.0,65.0,2020-12-07
BERKSHIRE,292.0,55.0,80.0,135.0,46.0,2020-12-07
BRISTOL (Ash Street),206.0,13.0,69.0,82.0,40.0,2020-12-07
BRISTOL (Dartmouth),304.0,120.0,438.0,558.0,184.0,2020-12-07
BRISTOL (Women's Center),56.0,9.0,27.0,36.0,64.0,2020-12-07
DUKES,19.0,7.0,0.0,7.0,37.0,2020-12-07
ESSEX (Middleton),1291.0,197.0,724.0,921.0,71.0,2020-12-07
ESSEX (WIT),23.0,14.0,,14.0,61.0,2020-12-07
ESSEX (L.C.A.C.),340.0,74.0,,74.0,22.0,2020-12-07
FRANKLIN,144.0,59.0,91.0,150.0,104.0,2020-12-07
HAMPDEN (HOC / JAIL),1178.0,152.0,522.0,674.0,57.0,2020-12-07
HAMPDEN (W.M.C.A.C.),148.0,25.0,,25.0,17.0,2020-12-07
HAMPDEN (Women's Center),306.0,26.0,57.0,83.0,27.0,2020-12-07
HAMPSHIRE,287.0,32.0,86.0,118.0,41.0,2020-12-07
MIDDLESEX (Billerica),1501.0,160.0,387.0,547.0,36.0,2020-12-07
NORFOLK (Dedham / RT 128),620.0,92.0,279.0,371.0,60.0,2020-12-07
PLYMOUTH,1140.0,88.0,540.0,628.0,55.0,2020-12-07
SUFFOLK (Nashua Street),453.0,,458.0,458.0,101.0,2020-12-07
SUFFOLK (South Bay),1796.0,547.0,,547.0,30.0,2020-12-07
WORCESTER (HOC / JAIL),822.0,152.0,438.0,590.0,72.0,2020-12-07
BARNSTABLE,300.0,82.0,104.0,186.0,62.0,2020-11-30
BERKSHIRE,292.0,54.0,83.0,137.0,47.0,2020-11-30
BRISTOL (Ash Street),206.0,12.0,68.0,80.0,39.0,2020-11-30
BRISTOL (Dartmouth),304.0,122.0,441.0,563.0,185.0,2020-11-30
BRISTOL (Women's Center),56.0,8.0,25.0,33.0,59.0,2020-11-30
DUKES,19.0,5.0,0.0,5.0,26.0,2020-11-30
ESSEX (Middleton),1291.0,194.0,731.0,925.0,72.0,2020-11-30
ESSEX (WIT),23.0,16.0,,16.0,70.0,2020-11-30
ESSEX (L.C.A.C.),340.0,82.0,,82.0,24.0,2020-11-30
FRANKLIN,144.0,58.0,92.0,150.0,104.0,2020-11-30
HAMPDEN (HOC / JAIL),1178.0,152.0,501.0,653.0,55.0,2020-11-30
HAMPDEN (W.M.C.A.C.),148.0,28.0,,28.0,19.0,2020-11-30
HAMPDEN (Women's Center),306.0,28.0,59.0,87.0,28.0,2020-11-30
HAMPSHIRE,287.0,31.0,86.0,117.0,41.0,2020-11-30
MIDDLESEX (Billerica),1501.0,160.0,378.0,538.0,36.0,2020-11-30
NORFOLK (Dedham / RT 128),620.0,95.0,281.0,376.0,61.0,2020-11-30
PLYMOUTH,1140.0,92.0,548.0,640.0,56.0,2020-11-30
SUFFOLK (Nashua Street),453.0,,466.0,466.0,103.0,2020-11-30
SUFFOLK (South Bay),1796.0,530.0,,530.0,30.0,2020-11-30
WORCESTER (HOC / JAIL),822.0,164.0,457.0,621.0,76.0,2020-11-30
BARNSTABLE,300.0,84.0,108.0,192.0,64.0,2020-11-23
BERKSHIRE,292.0,52.0,85.0,137.0,47.0,2020-11-23
BRISTOL (Ash Street),206.0,12.0,65.0,77.0,37.0,2020-11-23
BRISTOL (Dartmouth),304.0,125.0,334.0,459.0,151.0,2020-11-23
BRISTOL (Women's Center),56.0,8.0,23.0,31.0,55.0,2020-11-23
DUKES,19.0,4.0,0.0,4.0,21.0,2020-11-23
ESSEX (Middleton),1291.0,200.0,722.0,922.0,71.0,2020-11-23
ESSEX (WIT),23.0,16.0,,16.0,70.0,2020-11-23
ESSEX (L.C.A.C.),340.0,80.0,,80.0,24.0,2020-11-23
FRANKLIN,144.0,58.0,87.0,145.0,101.0,2020-11-23
HAMPDEN (HOC / JAIL),1178.0,160.0,491.0,651.0,55.0,2020-11-23
HAMPDEN (W.M.C.A.C.),148.0,30.0,,30.0,20.0,2020-11-23
HAMPDEN (Women's Center),306.0,28.0,49.0,77.0,25.0,2020-11-23
HAMPSHIRE,287.0,29.0,87.0,116.0,40.0,2020-11-23
MIDDLESEX (Billerica),1501.0,165.0,381.0,546.0,36.0,2020-11-23
NORFOLK (Dedham / RT 128),620.0,98.0,287.0,385.0,62.0,2020-11-23
PLYMOUTH,1140.0,93.0,547.0,640.0,56.0,2020-11-23
SUFFOLK (Nashua Street),453.0,,458.0,458.0,101.0,2020-11-23
SUFFOLK (South Bay),1796.0,533.0,,533.0,30.0,2020-11-23
WORCESTER (HOC / JAIL),822.0,168.0,466.0,634.0,77.0,2020-11-23
BARNSTABLE,300.0,78.0,109.0,187.0,62.0,2020-11-16
BERKSHIRE,292.0,52.0,86.0,138.0,47.0,2020-11-16
BRISTOL (Ash Street),206.0,13.0,65.0,78.0,38.0,2020-11-16
BRISTOL (Dartmouth),304.0,120.0,437.0,557.0,183.0,2020-11-16
BRISTOL (Women's Center),56.0,8.0,23.0,31.0,55.0,2020-11-16
DUKES,19.0,3.0,0.0,3.0,16.0,2020-11-16
ESSEX (Middleton),1291.0,196.0,733.0,929.0,72.0,2020-11-16
ESSEX (WIT),23.0,15.0,,15.0,65.0,2020-11-16
ESSEX (L.C.A.C.),340.0,84.0,,84.0,25.0,2020-11-16
FRANKLIN,144.0,57.0,94.0,151.0,105.0,2020-11-16
HAMPDEN (HOC / JAIL),1178.0,162.0,501.0,663.0,56.0,2020-11-16
HAMPDEN (W.M.C.A.C.),148.0,33.0,,33.0,22.0,2020-11-16
HAMPDEN (Women's Center),306.0,27.0,50.0,77.0,25.0,2020-11-16
HAMPSHIRE,287.0,30.0,81.0,111.0,39.0,2020-11-16
MIDDLESEX (Billerica),1501.0,175.0,391.0,566.0,38.0,2020-11-16
NORFOLK (Dedham / RT 128),620.0,94.0,303.0,397.0,64.0,2020-11-16
PLYMOUTH,1140.0,93.0,548.0,641.0,56.0,2020-11-16
SUFFOLK (Nashua Street),453.0,,454.0,454.0,100.0,2020-11-16
SUFFOLK (South Bay),1796.0,551.0,,551.0,31.0,2020-11-16
WORCESTER (HOC / JAIL),822.0,169.0,449.0,618.0,75.0,2020-11-16
BARNSTABLE,300.0,74.0,114.0,188.0,63.0,2020-11-09
BERKSHIRE,292.0,51.0,87.0,138.0,47.0,2020-11-09
BRISTOL (Ash Street),206.0,12.0,70.0,82.0,40.0,2020-11-09
BRISTOL (Dartmouth),304.0,126.0,425.0,551.0,181.0,2020-11-09
BRISTOL (Women's Center),56.0,8.0,21.0,29.0,52.0,2020-11-09
DUKES,19.0,4.0,0.0,4.0,21.0,2020-11-09
ESSEX (Middleton),1291.0,196.0,732.0,928.0,72.0,2020-11-09
ESSEX (WIT),23.0,15.0,,15.0,65.0,2020-11-09
ESSEX (L.C.A.C.),340.0,82.0,,82.0,24.0,2020-11-09
FRANKLIN,144.0,54.0,92.0,146.0,101.0,2020-11-09
HAMPDEN (HOC / JAIL),1178.0,165.0,490.0,655.0,56.0,2020-11-09
HAMPDEN (W.M.C.A.C.),148.0,36.0,,36.0,24.0,2020-11-09
HAMPDEN (Women's Center),306.0,31.0,49.0,80.0,26.0,2020-11-09
HAMPSHIRE,287.0,33.0,78.0,111.0,39.0,2020-11-09
MIDDLESEX (Billerica),1501.0,173.0,387.0,560.0,37.0,2020-11-09
NORFOLK (Dedham / RT 128),620.0,89.0,310.0,399.0,64.0,2020-11-09
PLYMOUTH,1140.0,88.0,550.0,638.0,56.0,2020-11-09
SUFFOLK (Nashua Street),453.0,,434.0,434.0,96.0,2020-11-09
SUFFOLK (South Bay),1796.0,532.0,,532.0,30.0,2020-11-09
WORCESTER (HOC / JAIL),822.0,168.0,442.0,610.0,74.0,2020-11-09
BARNSTABLE,300.0,71.0,110.0,181.0,60.0,2020-11-02
BERKSHIRE,292.0,51.0,90.0,141.0,48.0,2020-11-02
BRISTOL (Ash Street),206.0,12.0,74.0,86.0,42.0,2020-11-02
BRISTOL (Dartmouth),304.0,125.0,428.0,553.0,182.0,2020-11-02
BRISTOL (Women's Center),56.0,7.0,23.0,30.0,54.0,2020-11-02
DUKES,19.0,3.0,0.0,3.0,16.0,2020-11-02
ESSEX (Middleton),1291.0,195.0,739.0,934.0,72.0,2020-11-02
ESSEX (WIT),23.0,16.0,,16.0,70.0,2020-11-02
ESSEX (L.C.A.C.),340.0,82.0,,82.0,24.0,2020-11-02
FRANKLIN,144.0,53.0,94.0,147.0,102.0,2020-11-02
HAMPDEN (HOC / JAIL),1178.0,166.0,484.0,650.0,55.0,2020-11-02
HAMPDEN (W.M.C.A.C.),148.0,42.0,,42.0,28.0,2020-11-02
HAMPDEN (Women's Center),306.0,32.0,51.0,83.0,27.0,2020-11-02
HAMPSHIRE,287.0,36.0,78.0,114.0,40.0,2020-11-02
MIDDLESEX (Billerica),1501.0,175.0,373.0,548.0,37.0,2020-11-02
NORFOLK (Dedham / RT 128),620.0,92.0,316.0,408.0,66.0,2020-11-02
PLYMOUTH,1140.0,86.0,549.0,635.0,56.0,2020-11-02
SUFFOLK (Nashua Street),453.0,,458.0,458.0,101.0,2020-11-02
SUFFOLK (South Bay),1796.0,532.0,,532.0,30.0,2020-11-02
WORCESTER (HOC / JAIL),822.0,166.0,444.0,610.0,74.0,2020-11-02
BARNSTABLE,300.0,69.0,105.0,174.0,58.0,2020-10-26
BERKSHIRE,292.0,47.0,91.0,138.0,47.0,2020-10-26
BRISTOL (Ash Street),206.0,14.0,80.0,94.0,46.0,2020-10-26
BRISTOL (Dartmouth),304.0,121.0,424.0,545.0,179.0,2020-10-26
BRISTOL (Women's Center),56.0,8.0,25.0,33.0,59.0,2020-10-26
DUKES,19.0,3.0,0.0,3.0,16.0,2020-10-26
ESSEX (Middleton),1291.0,205.0,718.0,923.0,71.0,2020-10-26
ESSEX (WIT),23.0,13.0,,13.0,57.0,2020-10-26
ESSEX (L.C.A.C.),340.0,70.0,,70.0,21.0,2020-10-26
FRANKLIN,144.0,52.0,83.0,135.0,94.0,2020-10-26
HAMPDEN (HOC / JAIL),1178.0,167.0,486.0,653.0,55.0,2020-10-26
HAMPDEN (W.M.C.A.C.),148.0,42.0,,42.0,28.0,2020-10-26
HAMPDEN (Women's Center),306.0,31.0,58.0,89.0,29.0,2020-10-26
HAMPSHIRE,287.0,39.0,74.0,113.0,39.0,2020-10-26
MIDDLESEX (Billerica),1501.0,176.0,374.0,550.0,37.0,2020-10-26
NORFOLK (Dedham / RT 128),620.0,97.0,304.0,401.0,65.0,2020-10-26
PLYMOUTH,1140.0,87.0,542.0,629.0,55.0,2020-10-26
SUFFOLK (Nashua Street),453.0,,438.0,438.0,97.0,2020-10-26
SUFFOLK (South Bay),1796.0,535.0,,535.0,30.0,2020-10-26
WORCESTER (HOC / JAIL),822.0,161.0,450.0,611.0,74.0,2020-10-26
BARNSTABLE,300.0,68.0,107.0,175.0,58.0,2020-10-12
BERKSHIRE,292.0,51.0,91.0,142.0,49.0,2020-10-12
BRISTOL (Ash Street),206.0,13.0,85.0,98.0,48.0,2020-10-12
BRISTOL (Dartmouth),304.0,120.0,434.0,554.0,182.0,2020-10-12
BRISTOL (Women's Center),56.0,7.0,25.0,32.0,57.0,2020-10-12
DUKES,19.0,4.0,0.0,4.0,21.0,2020-10-12
ESSEX (Middleton),1291.0,211.0,689.0,900.0,70.0,2020-10-12
ESSEX (WIT),23.0,9.0,,9.0,39.0,2020-10-12
ESSEX (L.C.A.C.),340.0,69.0,,69.0,20.0,2020-10-12
FRANKLIN,144.0,59.0,83.0,142.0,99.0,2020-10-12
HAMPDEN (HOC / JAIL),1178.0,162.0,455.0,617.0,52.0,2020-10-12
HAMPDEN (W.M.C.A.C.),148.0,43.0,,43.0,29.0,2020-10-12
HAMPDEN (Women's Center),306.0,36.0,57.0,93.0,30.0,2020-10-12
HAMPSHIRE,287.0,43.0,77.0,120.0,42.0,2020-10-12
MIDDLESEX (Billerica),1501.0,169.0,392.0,561.0,37.0,2020-10-12
NORFOLK (Dedham / RT 128),620.0,99.0,279.0,378.0,61.0,2020-10-12
PLYMOUTH,1140.0,91.0,545.0,636.0,56.0,2020-10-12
SUFFOLK (Nashua Street),453.0,,453.0,453.0,100.0,2020-10-12
SUFFOLK (South Bay),1796.0,556.0,,556.0,31.0,2020-10-12
WORCESTER (HOC / JAIL),822.0,158.0,434.0,592.0,72.0,2020-10-12
BARNSTABLE,300.0,69.0,106.0,175.0,58.0,2020-10-05
BERKSHIRE,292.0,49.0,94.0,143.0,49.0,2020-10-05
BRISTOL (Ash Street),206.0,14.0,87.0,101.0,49.0,2020-10-05
BRISTOL (Dartmouth),304.0,118.0,431.0,549.0,181.0,2020-10-05
BRISTOL (Women's Center),56.0,7.0,20.0,27.0,48.0,2020-10-05
DUKES,19.0,5.0,0.0,5.0,26.0,2020-10-05
ESSEX (Middleton),1291.0,215.0,684.0,899.0,70.0,2020-10-05
ESSEX (WIT),23.0,10.0,,10.0,43.0,2020-10-05
ESSEX (L.C.A.C.),340.0,72.0,,72.0,21.0,2020-10-05
FRANKLIN,144.0,62.0,79.0,141.0,98.0,2020-10-05
HAMPDEN (HOC / JAIL),1178.0,154.0,447.0,601.0,51.0,2020-10-05
HAMPDEN (W.M.C.A.C.),148.0,29.0,,29.0,20.0,2020-10-05
HAMPDEN (Women's Center),306.0,36.0,61.0,97.0,32.0,2020-10-05
HAMPSHIRE,287.0,44.0,76.0,120.0,42.0,2020-10-05
MIDDLESEX (Billerica),1501.0,172.0,401.0,573.0,38.0,2020-10-05
NORFOLK (Dedham / RT 128),620.0,100.0,280.0,380.0,61.0,2020-10-05
PLYMOUTH,1140.0,93.0,531.0,624.0,55.0,2020-10-05
SUFFOLK (Nashua Street),453.0,,450.0,450.0,99.0,2020-10-05
SUFFOLK (South Bay),1796.0,555.0,,555.0,31.0,2020-10-05
WORCESTER (HOC / JAIL),822.0,170.0,411.0,581.0,71.0,2020-10-05
BARNSTABLE,300.0,73.0,108.0,181.0,60.0,2020-09-28
BERKSHIRE,292.0,46.0,99.0,145.0,50.0,2020-09-28
BRISTOL (Ash Street),206.0,15.0,89.0,104.0,50.0,2020-09-28
BRISTOL (Dartmouth),304.0,125.0,435.0,560.0,184.0,2020-09-28
BRISTOL (Women's Center),56.0,5.0,21.0,26.0,46.0,2020-09-28
DUKES,19.0,6.0,0.0,6.0,32.0,2020-09-28
ESSEX (Middleton),1291.0,206.0,685.0,891.0,69.0,2020-09-28
ESSEX (WIT),23.0,11.0,,11.0,48.0,2020-09-28
ESSEX (L.C.A.C.),340.0,73.0,,73.0,21.0,2020-09-28
FRANKLIN,144.0,57.0,84.0,141.0,98.0,2020-09-28
HAMPDEN (HOC / JAIL),1178.0,154.0,460.0,614.0,52.0,2020-09-28
HAMPDEN (W.M.C.A.C.),148.0,30.0,,30.0,20.0,2020-09-28
HAMPDEN (Women's Center),306.0,32.0,62.0,94.0,31.0,2020-09-28
HAMPSHIRE,287.0,43.0,83.0,126.0,44.0,2020-09-28
MIDDLESEX (Billerica),1501.0,167.0,409.0,576.0,38.0,2020-09-28
NORFOLK (Dedham / RT 128),620.0,98.0,278.0,376.0,61.0,2020-09-28
PLYMOUTH,1140.0,98.0,529.0,627.0,55.0,2020-09-28
SUFFOLK (Nashua Street),453.0,,450.0,450.0,99.0,2020-09-28
SUFFOLK (South Bay),1796.0,554.0,,554.0,31.0,2020-09-28
WORCESTER (HOC / JAIL),822.0,171.0,411.0,582.0,71.0,2020-09-28
BARNSTABLE,300.0,72.0,107.0,179.0,60.0,2020-09-21
BERKSHIRE,292.0,48.0,97.0,145.0,50.0,2020-09-21
BRISTOL (Ash Street),206.0,17.0,88.0,105.0,51.0,2020-09-21
BRISTOL (Dartmouth),304.0,123.0,445.0,568.0,187.0,2020-09-21
BRISTOL (Women's Center),56.0,6.0,14.0,20.0,36.0,2020-09-21
DUKES,19.0,6.0,0.0,6.0,32.0,2020-09-21
ESSEX (Middleton),1291.0,198.0,699.0,897.0,69.0,2020-09-21
ESSEX (WIT),23.0,12.0,,12.0,52.0,2020-09-21
ESSEX (L.C.A.C.),340.0,75.0,,75.0,22.0,2020-09-21
FRANKLIN,144.0,60.0,78.0,138.0,96.0,2020-09-21
HAMPDEN (HOC / JAIL),1178.0,157.0,452.0,609.0,52.0,2020-09-21
HAMPDEN (W.M.C.A.C.),148.0,33.0,,33.0,22.0,2020-09-21
HAMPDEN (Women's Center),306.0,30.0,58.0,88.0,29.0,2020-09-21
HAMPSHIRE,287.0,42.0,79.0,121.0,42.0,2020-09-21
MIDDLESEX (Billerica),1501.0,166.0,407.0,573.0,38.0,2020-09-21
NORFOLK (Dedham / RT 128),620.0,88.0,291.0,379.0,61.0,2020-09-21
PLYMOUTH,1140.0,99.0,521.0,620.0,54.0,2020-09-21
SUFFOLK (Nashua Street),453.0,,444.0,444.0,98.0,2020-09-21
SUFFOLK (South Bay),1796.0,554.0,,554.0,31.0,2020-09-21
WORCESTER (HOC / JAIL),822.0,171.0,411.0,582.0,71.0,2020-09-21
BARNSTABLE,300.0,68.0,116.0,184.0,61.0,2020-09-14
BERKSHIRE,292.0,51.0,94.0,145.0,50.0,2020-09-14
BRISTOL (Ash Street),206.0,16.0,79.0,95.0,46.0,2020-09-14
BRISTOL (Dartmouth),304.0,121.0,461.0,582.0,191.0,2020-09-14
BRISTOL (Women's Center),56.0,6.0,19.0,25.0,45.0,2020-09-14
DUKES,19.0,6.0,0.0,6.0,32.0,2020-09-14
ESSEX (Middleton),1291.0,203.0,700.0,903.0,70.0,2020-09-14
ESSEX (WIT),23.0,13.0,,13.0,57.0,2020-09-14
ESSEX (L.C.A.C.),340.0,75.0,,75.0,22.0,2020-09-14
FRANKLIN,144.0,64.0,75.0,139.0,97.0,2020-09-14
HAMPDEN (HOC / JAIL),1178.0,158.0,464.0,622.0,53.0,2020-09-14
HAMPDEN (W.M.C.A.C.),148.0,34.0,,34.0,23.0,2020-09-14
HAMPDEN (Women's Center),306.0,28.0,53.0,81.0,26.0,2020-09-14
HAMPSHIRE,287.0,42.0,83.0,125.0,44.0,2020-09-14
MIDDLESEX (Billerica),1501.0,162.0,420.0,582.0,39.0,2020-09-14
NORFOLK (Dedham / RT 128),620.0,91.0,279.0,370.0,60.0,2020-09-14
PLYMOUTH,1140.0,105.0,524.0,629.0,55.0,2020-09-14
SUFFOLK (Nashua Street),453.0,,434.0,434.0,96.0,2020-09-14
SUFFOLK (South Bay),1796.0,549.0,,549.0,31.0,2020-09-14
WORCESTER (HOC / JAIL),822.0,170.0,411.0,581.0,71.0,2020-09-14
BARNSTABLE,300.0,65.0,118.0,183.0,61.0,2020-09-07
BERKSHIRE,292.0,52.0,93.0,145.0,50.0,2020-09-07
BRISTOL (Ash Street),206.0,15.0,79.0,94.0,46.0,2020-09-07
BRISTOL (Dartmouth),304.0,123.0,453.0,576.0,189.0,2020-09-07
BRISTOL (Women's Center),56.0,5.0,18.0,23.0,41.0,2020-09-07
DUKES,19.0,6.0,0.0,6.0,32.0,2020-09-07
ESSEX (Middleton),1291.0,204.0,700.0,904.0,70.0,2020-09-07
ESSEX (WIT),23.0,9.0,,9.0,39.0,2020-09-07
ESSEX (L.C.A.C.),340.0,80.0,,80.0,24.0,2020-09-07
FRANKLIN,144.0,60.0,84.0,144.0,100.0,2020-09-07
HAMPDEN (HOC / JAIL),1178.0,158.0,460.0,618.0,52.0,2020-09-07
HAMPDEN (W.M.C.A.C.),148.0,31.0,,31.0,21.0,2020-09-07
HAMPDEN (Women's Center),306.0,29.0,51.0,80.0,26.0,2020-09-07
HAMPSHIRE,287.0,44.0,85.0,129.0,45.0,2020-09-07
MIDDLESEX (Billerica),1501.0,167.0,418.0,585.0,39.0,2020-09-07
NORFOLK (Dedham / RT 128),620.0,90.0,277.0,367.0,59.0,2020-09-07
PLYMOUTH,1140.0,104.0,523.0,627.0,55.0,2020-09-07
SUFFOLK (Nashua Street),453.0,,438.0,438.0,97.0,2020-09-07
SUFFOLK (South Bay),1796.0,534.0,,534.0,30.0,2020-09-07
WORCESTER (HOC / JAIL),822.0,170.0,399.0,569.0,69.0,2020-09-07
BARNSTABLE,300.0,65.0,118.0,183.0,61.0,2020-08-31
BERKSHIRE,292.0,51.0,96.0,147.0,50.0,2020-08-31
BRISTOL (Ash Street),206.0,16.0,80.0,96.0,47.0,2020-08-31
BRISTOL (Dartmouth),304.0,121.0,459.0,580.0,191.0,2020-08-31
BRISTOL (Women's Center),56.0,6.0,19.0,25.0,45.0,2020-08-31
DUKES,19.0,6.0,0.0,6.0,32.0,2020-08-31
ESSEX (Middleton),1291.0,205.0,694.0,899.0,70.0,2020-08-31
ESSEX (WIT),23.0,10.0,,10.0,43.0,2020-08-31
ESSEX (L.C.A.C.),340.0,77.0,,77.0,23.0,2020-08-31
FRANKLIN,144.0,57.0,84.0,141.0,98.0,2020-08-31
HAMPDEN (HOC / JAIL),1178.0,155.0,425.0,580.0,49.0,2020-08-31
HAMPDEN (W.M.C.A.C.),148.0,18.0,,18.0,12.0,2020-08-31
HAMPDEN (Women's Center),306.0,29.0,53.0,82.0,27.0,2020-08-31
HAMPSHIRE,287.0,42.0,86.0,128.0,45.0,2020-08-31
MIDDLESEX (Billerica),1501.0,159.0,424.0,583.0,39.0,2020-08-31
NORFOLK (Dedham / RT 128),620.0,88.0,268.0,356.0,57.0,2020-08-31
PLYMOUTH,1140.0,106.0,514.0,620.0,54.0,2020-08-31
SUFFOLK (Nashua Street),453.0,,432.0,432.0,95.0,2020-08-31
SUFFOLK (South Bay),1796.0,515.0,,515.0,29.0,2020-08-31
WORCESTER (HOC / JAIL),822.0,171.0,387.0,558.0,68.0,2020-08-31
BARNSTABLE,300.0,66.0,117.0,183.0,61.0,2020-08-24
BERKSHIRE,292.0,48.0,93.0,141.0,48.0,2020-08-24
BRISTOL (Ash Street),206.0,14.0,80.0,94.0,46.0,2020-08-24
BRISTOL (Dartmouth),304.0,125.0,455.0,580.0,191.0,2020-08-24
BRISTOL (Women's Center),56.0,5.0,19.0,24.0,43.0,2020-08-24
DUKES,19.0,7.0,0.0,7.0,37.0,2020-08-24
ESSEX (Middleton),1291.0,199.0,685.0,884.0,68.0,2020-08-24
ESSEX (WIT),23.0,10.0,,10.0,43.0,2020-08-24
ESSEX (L.C.A.C.),340.0,81.0,,81.0,24.0,2020-08-24
FRANKLIN,144.0,56.0,89.0,145.0,101.0,2020-08-24
HAMPDEN (HOC / JAIL),1178.0,154.0,430.0,584.0,50.0,2020-08-24
HAMPDEN (W.M.C.A.C.),148.0,31.0,,31.0,21.0,2020-08-24
HAMPDEN (Women's Center),306.0,29.0,50.0,79.0,26.0,2020-08-24
HAMPSHIRE,287.0,43.0,78.0,121.0,42.0,2020-08-24
MIDDLESEX (Billerica),1501.0,158.0,413.0,571.0,38.0,2020-08-24
NORFOLK (Dedham / RT 128),620.0,85.0,256.0,341.0,55.0,2020-08-24
PLYMOUTH,1140.0,106.0,518.0,624.0,55.0,2020-08-24
