facility,operational_capacity,hoc_population,jail_population,total_occupancy,percent_occupied,report_date
WORCESTER (HOC / JAIL),822.0,141.0,417.0,558.0,68.0,2021-02-22
BARNSTABLE,300.0,75.0,116.0,191.0,64.0,2021-02-15
BERKSHIRE,292.0,52.0,83.0,135.0,46.0,2021-02-15
BRISTOL (Ash Street),206.0,13.0,69.0,82.0,40.0,2021-02-15
BRISTOL (Dartmouth),304.0,124.0,428.0,552.0,182.0,2021-02-15
BRISTOL (Women's Center),56.0,7.0,20.0,27.0,48.0,2021-02-15
DUKES,19.0,5.0,0.0,5.0,26.0,2021-02-15
ESSEX (Middleton),1291.0,188.0,713.0,901.0,70.0,2021-02-15
ESSEX (WIT),23.0,5.0,,5.0,22.0,2021-02-15
ESSEX (L.C.A.C.),340.0,76.0,,76.0,22.0,2021-02-15
FRANKLIN,144.0,53.0,79.0,132.0,92.0,2021-02-15
HAMPDEN (HOC / JAIL),1178.0,151.0,491.0,642.0,54.0,2021-02-15
HAMPDEN (W.M.C.A.C.),148.0,44.0,,44.0,30.0,2021-02-15
HAMPDEN (Women's Center),306.0,23.0,49.0,72.0,24.0,2021-02-15
HAMPSHIRE,287.0,26.0,82.0,108.0,38.0,2021-02-15
MIDDLESEX (Billerica),1501.0,147.0,412.0,559.0,37.0,2021-02-15
NORFOLK (Dedham / RT 128),620.0,72.0,278.0,350.0,56.0,2021-02-15
PLYMOUTH,1140.0,90.0,460.0,550.0,48.0,2021-02-15
SUFFOLK (Nashua Street),453.0,,447.0,447.0,99.0,2021-02-15
SUFFOLK (South Bay),1796.0,461.0,,461.0,26.0,2021-02-15
WORCESTER (HOC / JAIL),822.0,145.0,395.0,540.0,66.0,2021-02-15
BARNSTABLE,300.0,72.0,116.0,188.0,63.0,2021-02-08
BERKSHIRE,292.0,52.0,80.0,132.0,45.0,2021-02-08
BRISTOL (Ash Street),206.0,11.0,78.0,89.0,43.0,2021-02-08
BRISTOL (Dartmouth),304.0,115.0,441.0,556.0,183.0,2021-02-08
BRISTOL (Women's Center),56.0,4.0,21.0,25.0,45.0,2021-02-08
DUKES,19.0,7.0,0.0,7.0,37.0,2021-02-08
ESSEX (Middleton),1291.0,175.0,741.0,916.0,71.0,2021-02-08
ESSEX (WIT),23.0,0.0,,0.0,0.0,2021-02-08
ESSEX (L.C.A.C.),340.0,84.0,,84.0,25.0,2021-02-08
FRANKLIN,144.0,54.0,83.0,137.0,95.0,2021-02-08
HAMPDEN (HOC / JAIL),1178.0,151.0,504.0,655.0,56.0,2021-02-08
HAMPDEN (W.M.C.A.C.),148.0,41.0,,41.0,28.0,2021-02-08
HAMPDEN (Women's Center),306.0,21.0,43.0,64.0,21.0,2021-02-08
HAMPSHIRE,287.0,27.0,84.0,111.0,39.0,2021-02-08
MIDDLESEX (Billerica),1501.0,155.0,397.0,552.0,37.0,2021-02-08
NORFOLK (Dedham / RT 128),620.0,72.0,278.0,350.0,56.0,2021-02-08
PLYMOUTH,1140.0,87.0,469.0,556.0,49.0,2021-02-08
SUFFOLK (Nashua Street),453.0,,462.0,462.0,102.0,2021-02-08
SUFFOLK (South Bay),1796.0,454.0,,454.0,25.0,2021-02-08
WORCESTER (HOC / JAIL),822.0,141.0,401.0,542.0,66.0,2021-02-08
BARNSTABLE,300.0,74.0,104.0,178.0,59.0,2021-02-01
BERKSHIRE,292.0,51.0,87.0,138.0,47.0,2021-02-01
BRISTOL (Ash Street),206.0,10.0,81.0,91.0,44.0,2021-02-01
BRISTOL (Dartmouth),304.0,115.0,432.0,547.0,180.0,2021-02-01
BRISTOL (Women's Center),56.0,4.0,25.0,29.0,52.0,2021-02-01
DUKES,19.0,7.0,0.0,7.0,37.0,2021-02-01
ESSEX (Middleton),1291.0,186.0,746.0,932.0,72.0,2021-02-01
ESSEX (WIT),23.0,0.0,,0.0,0.0,2021-02-01
ESSEX (L.C.A.C.),340.0,71.0,,71.0,21.0,2021-02-01
FRANKLIN,144.0,56.0,87.0,143.0,99.0,2021-02-01
HAMPDEN (HOC / JAIL),1178.0,149.0,509.0,658.0,56.0,2021-02-01
HAMPDEN (W.M.C.A.C.),148.0,33.0,,33.0,22.0,2021-02-01
HAMPDEN (Women's Center),306.0,20.0,44.0,64.0,21.0,2021-02-01
HAMPSHIRE,287.0,30.0,80.0,110.0,38.0,2021-02-01
MIDDLESEX (Billerica),1501.0,156.0,395.0,551.0,37.0,2021-02-01
NORFOLK (Dedham / RT 128),620.0,72.0,283.0,355.0,57.0,2021-02-01
PLYMOUTH,1140.0,90.0,465.0,555.0,49.0,2021-02-01
SUFFOLK (Nashua Street),453.0,,438.0,438.0,97.0,2021-02-01
SUFFOLK (South Bay),1796.0,474.0,,474.0,26.0,2021-02-01
WORCESTER (HOC / JAIL),822.0,144.0,399.0,543.0,66.0,2021-02-01
BARNSTABLE,300.0,73.0,100.0,173.0,58.0,2021-01-25
BERKSHIRE,292.0,53.0,88.0,141.0,48.0,2021-01-25
BRISTOL (Ash Street),206.0,10.0,71.0,81.0,39.0,2021-01-25
BRISTOL (Dartmouth),304.0,115.0,444.0,559.0,184.0,2021-01-25
BRISTOL (Women's Center),56.0,5.0,26.0,31.0,55.0,2021-01-25
DUKES,19.0,8.0,0.0,8.0,42.0,2021-01-25
ESSEX (Middleton),1291.0,182.0,729.0,911.0,71.0,2021-01-25
ESSEX (WIT),23.0,6.0,,6.0,26.0,2021-01-25
ESSEX (L.C.A.C.),340.0,74.0,,74.0,22.0,2021-01-25
FRANKLIN,144.0,57.0,83.0,140.0,97.0,2021-01-25
HAMPDEN (HOC / JAIL),1178.0,140.0,522.0,662.0,56.0,2021-01-25
HAMPDEN (W.M.C.A.C.),148.0,35.0,,35.0,24.0,2021-01-25
HAMPDEN (Women's Center),306.0,21.0,48.0,69.0,23.0,2021-01-25
HAMPSHIRE,287.0,31.0,80.0,111.0,39.0,2021-01-25
MIDDLESEX (Billerica),1501.0,152.0,398.0,550.0,37.0,2021-01-25
NORFOLK (Dedham / RT 128),620.0,73.0,284.0,357.0,58.0,2021-01-25
PLYMOUTH,1140.0,90.0,471.0,561.0,49.0,2021-01-25
SUFFOLK (Nashua Street),453.0,,459.0,459.0,101.0,2021-01-25
SUFFOLK (South Bay),1796.0,472.0,,472.0,26.0,2021-01-25
WORCESTER (HOC / JAIL),822.0,142.0,412.0,554.0,67.0,2021-01-25
BARNSTABLE,300.0,75.0,98.0,173.0,58.0,2021-01-18
BERKSHIRE,292.0,53.0,83.0,136.0,47.0,2021-01-18
BRISTOL (Ash Street),206.0,11.0,75.0,86.0,42.0,2021-01-18
BRISTOL (Dartmouth),304.0,116.0,431.0,547.0,180.0,2021-01-18
